Model,Paradigm,L,Iter,Success
gpt-4o-mini,Neuro-Symbolic Scaffolding,100,1,1
gpt-4o-mini,Neuro-Symbolic Scaffolding,100,2,1
gpt-4o-mini,Neuro-Symbolic Scaffolding,100,3,1
gpt-4o-mini,Neuro-Symbolic Scaffolding,100,4,1
gpt-4o-mini,Neuro-Symbolic Scaffolding,100,5,1
gpt-4o-mini,Neuro-Symbolic Scaffolding,100,6,1
gpt-4o-mini,Neuro-Symbolic Scaffolding,100,7,1
gpt-4o-mini,Neuro-Symbolic Scaffolding,100,8,1
gpt-4o-mini,Neuro-Symbolic Scaffolding,100,9,1
gpt-4o-mini,Neuro-Symbolic Scaffolding,100,10,1
gpt-4o-mini,Neuro-Symbolic Scaffolding,500,1,1
gpt-4o-mini,Neuro-Symbolic Scaffolding,500,2,1
gpt-4o-mini,Neuro-Symbolic Scaffolding,500,3,1
gpt-4o-mini,Neuro-Symbolic Scaffolding,500,4,1
gpt-4o-mini,Neuro-Symbolic Scaffolding,500,5,1
gpt-4o-mini,Neuro-Symbolic Scaffolding,500,6,1
gpt-4o-mini,Neuro-Symbolic Scaffolding,500,7,1
gpt-4o-mini,Neuro-Symbolic Scaffolding,500,8,1
gpt-4o-mini,Neuro-Symbolic Scaffolding,500,9,1
gpt-4o-mini,Neuro-Symbolic Scaffolding,500,10,1
gpt-4o-mini,Neuro-Symbolic Scaffolding,1000,1,1
gpt-4o-mini,Neuro-Symbolic Scaffolding,1000,2,1
gpt-4o-mini,Neuro-Symbolic Scaffolding,1000,3,1
gpt-4o-mini,Neuro-Symbolic Scaffolding,1000,4,1
gpt-4o-mini,Neuro-Symbolic Scaffolding,1000,5,1
gpt-4o-mini,Neuro-Symbolic Scaffolding,1000,6,1
gpt-4o-mini,Neuro-Symbolic Scaffolding,1000,7,1
gpt-4o-mini,Neuro-Symbolic Scaffolding,1000,8,1
gpt-4o-mini,Neuro-Symbolic Scaffolding,1000,9,1
gpt-4o-mini,Neuro-Symbolic Scaffolding,1000,10,1
gpt-4o,Neuro-Symbolic Scaffolding,100,1,1
gpt-4o,Neuro-Symbolic Scaffolding,100,2,1
gpt-4o,Neuro-Symbolic Scaffolding,100,3,1
gpt-4o,Neuro-Symbolic Scaffolding,100,4,1
gpt-4o,Neuro-Symbolic Scaffolding,100,5,1
gpt-4o,Neuro-Symbolic Scaffolding,100,6,1
gpt-4o,Neuro-Symbolic Scaffolding,100,7,1
gpt-4o,Neuro-Symbolic Scaffolding,100,8,1
gpt-4o,Neuro-Symbolic Scaffolding,100,9,1
gpt-4o,Neuro-Symbolic Scaffolding,100,10,1
gpt-4o,Neuro-Symbolic Scaffolding,500,1,1
gpt-4o,Neuro-Symbolic Scaffolding,500,2,1
gpt-4o,Neuro-Symbolic Scaffolding,500,3,1
gpt-4o,Neuro-Symbolic Scaffolding,500,4,1
gpt-4o,Neuro-Symbolic Scaffolding,500,5,1
gpt-4o,Neuro-Symbolic Scaffolding,500,6,1
gpt-4o,Neuro-Symbolic Scaffolding,500,7,1
gpt-4o,Neuro-Symbolic Scaffolding,500,8,1
gpt-4o,Neuro-Symbolic Scaffolding,500,9,1
gpt-4o,Neuro-Symbolic Scaffolding,500,10,1
gpt-4o,Neuro-Symbolic Scaffolding,1000,1,1
gpt-4o,Neuro-Symbolic Scaffolding,1000,2,1
gpt-4o,Neuro-Symbolic Scaffolding,1000,3,1
gpt-4o,Neuro-Symbolic Scaffolding,1000,4,1
gpt-4o,Neuro-Symbolic Scaffolding,1000,5,1
gpt-4o,Neuro-Symbolic Scaffolding,1000,6,1
gpt-4o,Neuro-Symbolic Scaffolding,1000,7,1
gpt-4o,Neuro-Symbolic Scaffolding,1000,8,1
gpt-4o,Neuro-Symbolic Scaffolding,1000,9,1
gpt-4o,Neuro-Symbolic Scaffolding,1000,10,1